sim_id,t_s,Vout,Vdd,tempC,Cload_fF,VinA,VinB,Rn_ohm,Rp_ohm,tau_f_s,tau_r_s,n_steps,dt_s,dVout_dt,tau_f_est,tau_r_est,gate_NAND2,gate_NOR2,process_SS,process_TT
0,-1.541393451507763,0.9399006382902976,-0.4177608939358337,0.30340690021383016,-1.264855750633713,-1.011000099563937,-0.6905890054533323,-0.5410377429062175,-0.5410377429062175,-1.1887606825382402,-1.18876068253824,0.0,-2.0679515313825692e-25,0.029995658621562102,-1.18876068253824,-1.18876068253824,False,False,False,False
0,-1.436745574135381,-1.1924184275974687,-0.4177608939358337,0.30340690021383016,-1.264855750633713,0.35739909229500466,-0.6905890054533323,-0.5410377429062175,-0.5410377429062175,-1.1887606825382402,-1.18876068253824,0.0,-2.0679515313825692e-25,-1.6127026110711637,-1.18876068253824,-1.18876068253824,False,False,False,False
0,-1.325557204427225,0.9374953422318387,-0.4177608939358337,0.30340690021383016,-1.264855750633713,-0.049993948767549236,-0.6905890054533323,-0.5410377429062175,-0.5410377429062175,-1.1887606825382402,-1.18876068253824,0.0,-2.0679515313825692e-25,1.670903167215055,-1.18876068253824,-1.18876068253824,False,False,False,False
0,-0.9723706182954355,-1.1924184275974687,-0.4177608939358337,0.30340690021383016,-1.264855750633713,0.21727778204125717,-0.6905890054533323,-0.5410377429062175,-0.5410377429062175,-1.1887606825382402,-1.18876068253824,0.0,-2.0679515313825692e-25,-1.6127026110710985,-1.18876068253824,-1.18876068253824,False,False,False,False
0,-0.8595471255033362,0.9374953422318387,-0.4177608939358337,0.30340690021383016,-1.264855750633713,-0.41896111835409555,-0.6905890054533323,-0.5410377429062175,-0.5410377429062175,-1.1887606825382402,-1.18876068253824,0.0,-2.0679515313825692e-25,1.6709031672150982,-1.18876068253824,-1.18876068253824,False,False,False,False
0,-0.5079956624554902,-1.1924184275974687,-0.4177608939358337,0.30340690021383016,-1.264855750633713,0.07715647178746343,-0.6905890054533323,-0.5410377429062175,-0.5410377429062175,-1.1887606825382402,-1.18876068253824,0.0,-2.0679515313825692e-25,-1.6127026110711855,-1.18876068253824,-1.18876068253824,False,False,False,False
0,-0.39517216966339086,0.9374953422318387,-0.4177608939358337,0.30340690021383016,-1.264855750633713,-0.24140414357582324,-0.6905890054533323,-0.5410377429062175,-0.5410377429062175,-1.1887606825382402,-1.18876068253824,0.0,-2.0679515313825692e-25,1.6709031672151853,-1.18876068253824,-1.18876068253824,False,False,False,False
0,-0.041985583531601534,-1.1924184275974687,-0.4177608939358337,0.30340690021383016,-1.264855750633713,0.3683315343704009,-0.6905890054533323,-0.5410377429062175,-0.5410377429062175,-1.1887606825382402,-1.18876068253824,0.0,-2.0679515313825692e-25,-1.6127026110711855,-1.18876068253824,-1.18876068253824,False,False,False,False
0,0.0692027861765546,0.9374953422318387,-0.4177608939358337,0.30340690021383016,-1.264855750633713,-0.06384716879760902,-0.6905890054533323,-0.5410377429062175,-0.5410377429062175,-1.1887606825382402,-1.18876068253824,0.0,-2.0679515313825692e-25,1.6709031672150114,-1.18876068253824,-1.18876068253824,False,False,False,False
0,0.4223893723083439,-1.1924184275974687,-0.4177608939358337,0.30340690021383016,-1.264855750633713,0.22821022411660766,-0.6905890054533323,-0.5410377429062175,-0.5410377429062175,-1.1887606825382402,-1.18876068253824,0.0,-2.0679515313825692e-25,-1.6127026110713594,-1.18876068253824,-1.18876068253824,False,False,False,False
