sim_id,gate,process,tempC,Vdd,Cload_fF,Rn_ohm,Rp_ohm,tau_f_s,tau_r_s,n_steps,dt_s
60,INV,FF,25,0.8,1000,1000.0,1500.0,1e-09,1.5e-09,2000,1e-09
61,NAND2,SS,0,0.9,1000,1284.7222222222222,1927.0833333333335,1.2847222222222222e-09,1.9270833333333336e-09,2000,1e-09
62,NAND2,FF,25,1.1,100,727.2727272727273,1090.9090909090908,7.272727272727272e-11,1.0909090909090908e-10,2000,1e-09
63,NOR2,TT,-40,0.8,30,1006.2499999999999,1509.375,3.01875e-11,4.528125000000001e-11,2000,1e-09
64,NOR2,SS,25,1.1,30,1136.3636363636363,1704.5454545454545,3.409090909090909e-11,5.113636363636364e-11,2000,1e-09
65,INV,TT,125,0.8,30,1625.0,2437.5,4.8750000000000006e-11,7.3125e-11,2000,1e-09
66,NOR2,FF,60,1.0,30,884.0,1326.0,2.6520000000000006e-11,3.9780000000000004e-11,2000,1e-09
67,NOR2,FF,125,1.0,10,1040.0,1560.0,1.0400000000000001e-11,1.5600000000000003e-11,2000,1e-09
68,NOR2,FF,25,0.8,1000,1000.0,1500.0,1e-09,1.5e-09,2000,1e-09
69,INV,TT,85,0.9,1000,1311.111111111111,1966.6666666666667,1.311111111111111e-09,1.966666666666667e-09,2000,1e-09
70,NAND2,SS,85,0.9,30,1638.888888888889,2458.3333333333335,4.916666666666668e-11,7.375000000000002e-11,2000,1e-09
71,NOR2,SS,-40,1.0,300,1006.2499999999999,1509.3749999999998,3.01875e-10,4.528125e-10,2000,1e-09
72,INV,SS,0,1.1,100,1051.1363636363635,1576.7045454545455,1.0511363636363636e-10,1.5767045454545455e-10,2000,1e-09
73,NAND2,TT,85,0.8,300,1475.0,2212.5,4.425000000000001e-10,6.637500000000001e-10,2000,1e-09
74,INV,FF,85,0.9,10,1048.888888888889,1573.3333333333335,1.048888888888889e-11,1.573333333333334e-11,2000,1e-09
75,NOR2,FF,60,0.8,1000,1105.0,1657.5,1.105e-09,1.6575e-09,2000,1e-09
76,NOR2,SS,25,1.0,10,1250.0,1875.0,1.2500000000000002e-11,1.8750000000000003e-11,2000,1e-09
77,INV,FF,85,1.0,300,944.0,1416.0,2.832e-10,4.2480000000000007e-10,2000,1e-09
78,NOR2,SS,-40,1.1,30,914.7727272727271,1372.1590909090908,2.744318181818182e-11,4.116477272727273e-11,2000,1e-09
79,NAND2,FF,125,0.8,30,1300.0,1950.0,3.900000000000001e-11,5.85e-11,2000,1e-09
80,NOR2,FF,85,1.1,1000,858.1818181818181,1287.2727272727273,8.581818181818181e-10,1.2872727272727272e-09,2000,1e-09
81,NOR2,TT,60,1.0,100,1105.0,1657.5,1.105e-10,1.6575e-10,2000,1e-09
82,INV,TT,-40,1.1,300,731.8181818181816,1097.7272727272727,2.195454545454545e-10,3.293181818181819e-10,2000,1e-09
83,INV,FF,0,0.9,100,822.2222222222223,1233.3333333333335,8.222222222222223e-11,1.2333333333333335e-10,2000,1e-09
84,INV,TT,85,0.9,1000,1311.111111111111,1966.6666666666667,1.311111111111111e-09,1.966666666666667e-09,2000,1e-09
