sim_id,t_s,Vout
0,-1.541393451507763,0.6597964
0,1.463962776780334,0.7616476
0,0.9995878209403888,0.89546806
0,0.8867643281482895,-1.25969
0,0.5352128651004431,1.0130355
0,0.4223893723083439,-1.2815664
0,0.0692027861765546,0.94784486
0,1.3527744070721783,-1.4193318
0,-0.3951721696633908,1.0469553
0,-0.5079956624554902,-1.0311579
0,-0.8595471255033362,1.1185391
0,-0.9723706182954356,-0.9979664
0,-1.325557204427225,1.0276068
0,-1.436745574135381,-0.9494482
0,-0.0419855835316015,-1.281618
4,0.1215267248627454,0.45604283
4,0.178756032800767,-1.245768
4,0.1803911558847102,-0.58087134
4,0.875318466560685,1.0111046
4,0.8769535896446287,0.38352603
4,1.0698981135499577,0.36220682
4,0.9374531437505372,-0.48090634
4,1.0682629904660144,1.1962843
4,1.1827216063420571,-1.4257178
4,1.184356729426001,-0.8529644
4,0.1198916017788021,1.3143213
4,0.9358180206665933,-1.3065095
4,-0.0141884911045625,-1.2430344
4,-0.0125533680206189,-0.39799654
4,-1.5397583284238197,-1.3660089
4,-0.1253768608127183,0.47659892
4,-1.541393451507763,-0.5994593
4,-1.538123205339876,-0.6111109
4,-1.1293424343540086,1.352968
4,-0.9641950028757182,-1.0342383
4,-1.1277073112700653,0.54959476
4,-0.8301149099923537,1.3649426
4,-0.8284797869084103,0.5252236
4,-0.8235744176565797,-1.204381
4,-0.8219392945726364,-0.56093276
4,-0.1270119838966617,1.2438661
4,-0.9625598797917748,-0.30575514
10,-0.2937945384588957,0.8010907
10,0.4452810954835525,-0.8050042
10,0.4436459723996092,-1.3626455
10,-0.2954296615428391,0.88678014
10,-1.5397583284238197,-1.2395607
10,-1.538123205339876,-0.30600008
10,-1.541393451507763,-0.26324117
10,-0.2970647846267827,1.2801867
11,0.5074157726734041,-1.5332308
11,0.3700654336221531,1.1751165
11,0.7510491121809814,1.1994138
11,0.1264320941145758,-1.3937418
11,1.2677480067071174,-1.461311
11,1.5113813462146948,0.9301163
11,1.6487316852659462,-1.544565
11,0.8867643281482895,-1.3562456
11,-0.0092831218527321,1.3832235
11,1.1320327907398098,1.2102191
11,-0.3902668004115604,1.3536478
11,-0.6355352630030809,-1.0501713
11,-0.7712504789703889,1.3011601
11,-1.0148838184779658,-1.1710186
11,-1.150599034445274,1.4375006
